time,price,atr,atr_pct,adx,signal,reason,confidence,entry,sl,tp
2026-03-21 19:30,70404.3,81.4,0.048,999.0,NO_TRADE,low_volatility,,,,
2026-03-21 19:45,70335.8,80.5,0.046,23.5,NO_TRADE,low_volatility,,,,
2026-03-21 20:00,70364.5,76.8,0.039,23.2,NO_TRADE,low_volatility,,,,
2026-03-21 20:15,70396.0,76.3,0.039,22.2,NO_TRADE,low_volatility,,,,
2026-03-21 20:30,70439.5,80.2,0.052,20.7,NO_TRADE,low_volatility,,,,
2026-03-21 20:45,70440.9,75.6,0.036,19.2,NO_TRADE,low_adx,,,,
2026-03-21 21:00,70451.6,72.1,0.028,18.0,NO_TRADE,low_adx,,,,
2026-03-21 21:15,70345.1,74.8,0.038,17.7,NO_TRADE,low_adx,,,,
2026-03-21 21:30,70329.9,71.5,0.028,17.5,NO_TRADE,low_adx,,,,
2026-03-21 21:45,70350.0,68.4,0.025,17.4,NO_TRADE,low_adx,,,,
2026-03-21 22:00,70279.5,70.9,0.030,18.1,NO_TRADE,low_adx,,,,
2026-03-21 22:15,70282.5,70.7,0.030,18.8,NO_TRADE,low_adx,,,,
2026-03-21 22:30,70256.5,68.3,0.025,19.5,NO_TRADE,low_adx,,,,
2026-03-21 22:45,70327.3,69.0,0.032,19.3,NO_TRADE,low_adx,,,,
2026-03-21 23:00,70245.3,69.9,0.034,19.3,NO_TRADE,low_adx,,,,
2026-03-21 23:15,70118.6,75.3,0.055,20.7,NO_TRADE,low_volatility,,,,
2026-03-21 23:30,70106.6,73.2,0.048,22.0,NO_TRADE,low_volatility,,,,
2026-03-21 23:45,70134.4,71.6,0.042,23.4,NO_TRADE,low_volatility,,,,
2026-03-22 00:00,69509.2,112.2,0.226,27.0,SHORT,SIGNAL,0.563,69509.2,69598.9,69284.9
2026-03-22 00:30,68790.3,278.1,0.922,35.5,SHORT,SIGNAL,0.699,68790.3,69012.7,68234.2
2026-03-22 01:00,68875.9,276.1,0.909,42.8,SHORT,SIGNAL,0.554,68875.9,69096.7,68323.8
2026-03-22 02:45,69210.0,247.7,0.828,53.7,SHORT,SIGNAL,0.599,69210.0,69408.2,68714.6
2026-03-22 03:45,69317.2,221.9,0.734,45.4,NO_TRADE,blocked_time_3,,,,
2026-03-22 04:00,69275.2,209.4,0.630,43.5,NO_TRADE,choppy_choppy,,,,
2026-03-22 04:15,69377.6,204.5,0.596,41.1,NO_TRADE,choppy_choppy,,,,
2026-03-22 04:30,69200.0,210.3,0.632,38.4,NO_TRADE,choppy_choppy,,,,
2026-03-22 04:45,69297.0,203.8,0.590,36.0,NO_TRADE,choppy_choppy,,,,
2026-03-22 05:00,69290.0,191.6,0.535,33.7,NO_TRADE,choppy_choppy,,,,
2026-03-22 05:15,69214.8,185.0,0.515,32.1,NO_TRADE,choppy_choppy,,,,
2026-03-22 05:30,69145.2,165.3,0.371,29.8,NO_TRADE,choppy_choppy,,,,
2026-03-22 05:45,69181.0,167.2,0.379,29.8,NO_TRADE,choppy_choppy,,,,
2026-03-22 06:00,69146.0,158.0,0.335,28.7,NO_TRADE,choppy_choppy,,,,
2026-03-22 06:15,69113.7,154.3,0.326,28.2,NO_TRADE,low_confidence,,,,
2026-03-22 06:30,69190.1,151.4,0.312,27.7,NO_TRADE,low_confidence,,,,
2026-03-22 06:45,69179.7,141.5,0.280,27.2,NO_TRADE,low_confidence,,,,
2026-03-22 07:00,69125.5,135.5,0.263,27.1,NO_TRADE,low_confidence,,,,
2026-03-22 07:15,69117.5,129.5,0.252,27.0,NO_TRADE,low_confidence,,,,
2026-03-22 07:30,69151.4,123.6,0.241,27.0,NO_TRADE,low_confidence,,,,
2026-03-22 07:45,68964.1,129.1,0.253,27.9,NO_TRADE,low_confidence,,,,
2026-03-22 08:00,69026.4,125.4,0.236,28.9,NO_TRADE,low_confidence,,,,
